        0,      90,    0.00,    0.00,  156.48,    0.23,    1.00
        1,       0,  275.05,    4.80,    0.00,    1.88,    1.00
        1,       1,  275.05,    4.80,    4.80,    2.01,    2.00
        1,       2,  275.05,    4.80,    9.61,    2.39,    2.00
        1,       3,  275.05,    4.80,   14.42,    3.02,    2.00
        1,       4,  275.05,    4.80,   19.24,    3.91,    2.00
        1,       5,  271.08,    4.73,   23.72,    1.07,    2.00
        1,       6,  271.07,    4.73,   28.50,    2.44,    2.00
        1,       7,  267.10,    4.66,   32.80,    0.03,    2.00
        1,       8,  267.10,    4.66,   37.54,    1.87,    1.00
        1,       9,  267.10,    4.66,   42.31,    3.95,    2.00
        1,      10,  263.12,    4.59,   46.40,    2.16,    2.00
        1,      11,  259.15,    4.52,   50.38,    0.53,    2.00
        1,      12,  259.14,    4.52,   55.09,    3.26,    2.00
        1,      13,  255.17,    4.45,   58.92,    1.98,    2.00
        1,      14,  251.19,    4.38,   62.64,    0.84,    2.00
        1,      15,  251.19,    4.38,   67.32,    4.17,    2.00
        1,      16,  247.21,    4.32,   70.90,    3.33,    2.00
        1,      17,  243.23,    4.25,   74.38,    2.59,    2.00
        1,      18,  239.26,    4.18,   77.75,    1.96,    2.00
        1,      19,  235.28,    4.11,   81.03,    1.42,    2.00
        1,      20,  231.30,    4.04,   84.20,    0.96,    2.00
        1,      21,  227.32,    3.97,   87.27,    0.57,    2.00
        1,      22,  223.35,    3.90,   90.25,    0.24,    2.00
        1,      23,  223.34,    3.90,   94.82,    4.87,    2.00
        1,      24,  219.36,    3.83,   97.68,    4.73,    2.00
        1,      25,  215.38,    3.76,  100.45,    4.64,    2.00
        1,      26,  211.40,    3.69,  103.12,    4.57,    2.00
        1,      27,  207.42,    3.62,  105.70,    4.53,    2.00
        1,      28,  203.44,    3.55,  108.19,    4.51,    2.00
        1,      29,  199.46,    3.48,  110.58,    4.50,    2.00
        1,      30,  195.48,    3.41,  112.88,    4.49,    2.00
        1,      31,  191.50,    3.34,  115.08,    4.48,    2.00
        1,      32,  187.52,    3.27,  117.19,    4.45,    2.00
        1,      33,  183.54,    3.20,  119.21,    4.42,    2.00
        1,      34,  179.56,    3.13,  121.13,    4.35,    2.00
        1,      35,  175.58,    3.06,  122.96,    4.26,    2.00
        1,      36,  171.59,    3.00,  124.69,    4.12,    2.00
        1,      37,  167.61,    2.93,  126.32,    3.95,    2.00
        1,      38,  163.63,    2.86,  127.86,    3.72,    2.00
        1,      39,  159.65,    2.79,  129.30,    3.44,    2.00
        1,      40,  155.66,    2.72,  130.64,    3.09,    2.00
        1,      41,  151.68,    2.65,  131.88,    2.67,    2.00
        1,      42,  147.70,    2.58,  133.01,    2.18,    2.00
        1,      43,  143.71,    2.51,  134.04,    1.59,    2.00
        1,      44,  139.73,    2.44,  134.96,    0.92,    2.00
        1,      45,  136.92,    2.39,  136.94,    2.48,    2.00
        1,      46,  132.23,    2.31,  136.95,    0.22,    2.00
        1,      47,  129.08,    2.25,  138.44,    1.00,    1.00
        1,      48,  125.98,    2.20,  139.94,    1.86,    2.00
        1,      49,  122.92,    2.15,  141.43,    2.80,    2.00
        1,      50,  118.66,    2.07,  141.44,    0.96,    2.00
        1,      51,  115.73,    2.02,  142.93,    2.06,    2.00
        1,      52,  111.66,    1.95,  142.94,    0.41,    2.00
        1,      53,  108.82,    1.90,  144.43,    1.64,    2.00
        1,      54,  104.93,    1.83,  144.44,    0.15,    2.00
        1,      55,  102.17,    1.78,  145.93,    1.51,    1.00
        1,      56,   98.43,    1.72,  145.94,    0.16,    2.00
        1,      57,   95.73,    1.67,  147.43,    1.63,    1.00
        1,      58,   92.12,    1.61,  147.44,    0.42,    2.00
        1,      59,   89.48,    1.56,  148.93,    1.99,    2.00
        1,      60,   85.98,    1.50,  148.94,    0.90,    2.00
        1,      61,   83.37,    1.46,  150.43,    2.55,    2.00
        1,      62,   79.98,    1.40,  150.44,    1.57,    2.00
        1,      63,   76.65,    1.34,  150.45,    0.64,    2.00
        1,      64,   74.09,    1.29,  151.94,    2.42,    2.00
        1,      65,   70.84,    1.24,  151.94,    1.59,    2.00
        1,      66,   67.64,    1.18,  151.95,    0.80,    2.00
        1,      67,   64.49,    1.13,  151.96,    0.06,    2.00
        1,      68,   61.99,    1.08,  153.45,    1.99,    1.00
        1,      69,   58.90,    1.03,  153.45,    1.33,    2.00
        1,      70,   55.85,    0.97,  153.46,    0.71,    2.00
        1,      71,   52.83,    0.92,  153.46,    0.12,    2.00
        1,      72,   50.34,    0.88,  154.95,    2.19,    1.00
        1,      73,   47.37,    0.83,  154.96,    1.67,    2.00
        1,      74,   44.43,    0.78,  154.96,    1.19,    2.00
        1,      75,   41.52,    0.72,  154.97,    0.75,    2.00
        1,      76,   38.63,    0.67,  154.97,    0.34,    2.00
