   1.0000,  0.0000,  1.0000,  0.0000
   1.0043,  0.0088,  1.0043,  0.0088
   1.0086,  0.0176,  1.0086,  0.0176
   1.0128,  0.0265,  1.0128,  0.0265
   1.0169,  0.0355,  1.0169,  0.0355
   1.0210,  0.0446,  1.0210,  0.0446
   1.0250,  0.0537,  1.0250,  0.0537
   1.0290,  0.0629,  1.0290,  0.0629
   1.0329,  0.0722,  1.0329,  0.0722
   1.0368,  0.0816,  1.0368,  0.0816
   1.0406,  0.0910,  1.0406,  0.0910
   1.0443,  0.1006,  1.0443,  0.1006
   1.0480,  0.1101,  1.0480,  0.1101
   1.0516,  0.1198,  1.0516,  0.1198
   1.0551,  0.1295,  1.0551,  0.1295
   1.0585,  0.1394,  1.0585,  0.1394
   1.0619,  0.1492,  1.0619,  0.1492
   1.0652,  0.1592,  1.0652,  0.1592
   1.0684,  0.1692,  1.0684,  0.1692
   1.0715,  0.1793,  1.0715,  0.1793
   1.0746,  0.1895,  1.0746,  0.1895
   1.0776,  0.1997,  1.0776,  0.1997
   1.0805,  0.2100,  1.0805,  0.2100
   1.0833,  0.2204,  1.0833,  0.2204
   1.0861,  0.2308,  1.0861,  0.2308
   1.0887,  0.2414,  1.0887,  0.2414
   1.0913,  0.2519,  1.0913,  0.2519
   1.0938,  0.2626,  1.0938,  0.2626
   1.0962,  0.2733,  1.0962,  0.2733
   1.0986,  0.2841,  1.0986,  0.2841
   1.1008,  0.2950,  1.1008,  0.2950
   1.1030,  0.3059,  1.1030,  0.3059
   1.1051,  0.3169,  1.1051,  0.3169
   1.1071,  0.3279,  1.1071,  0.3279
   1.1091,  0.3391,  1.1091,  0.3391
   1.1109,  0.3503,  1.1109,  0.3503
   1.1127,  0.3615,  1.1127,  0.3615
   1.1144,  0.3729,  1.1144,  0.3729
   1.1161,  0.3843,  1.1161,  0.3843
   1.1176,  0.3958,  1.1176,  0.3958
   1.1191,  0.4073,  1.1191,  0.4073
   1.1205,  0.4189,  1.1205,  0.4189
   1.1219,  0.4306,  1.1219,  0.4306
   1.1231,  0.4424,  1.1231,  0.4424
   1.1243,  0.4543,  1.1243,  0.4543
   1.1254,  0.4662,  1.1254,  0.4662
   1.1265,  0.4782,  1.1265,  0.4782
   1.1275,  0.4902,  1.1275,  0.4902
   1.1284,  0.5024,  1.1284,  0.5024
   1.1292,  0.5146,  1.1292,  0.5146
   1.1300,  0.5269,  1.1300,  0.5269
   1.1307,  0.5393,  1.1307,  0.5393
   1.1313,  0.5518,  1.1313,  0.5518
   1.1319,  0.5643,  1.1319,  0.5643
   1.1323,  0.5770,  1.1323,  0.5770
   1.1327,  0.5897,  1.1327,  0.5897
   1.1330,  0.6024,  1.1330,  0.6024
   1.1332,  0.6153,  1.1332,  0.6153
   1.1334,  0.6282,  1.1334,  0.6282
   1.1334,  0.6412,  1.1334,  0.6412
   1.1333,  0.6543,  1.1333,  0.6543
   1.1331,  0.6675,  1.1331,  0.6675
   1.1329,  0.6807,  1.1329,  0.6807
   1.1324,  0.6940,  1.1324,  0.6940
   1.1319,  0.7073,  1.1319,  0.7073
   1.1312,  0.7207,  1.1312,  0.7207
   1.1304,  0.7341,  1.1304,  0.7341
   1.1294,  0.7475,  1.1294,  0.7475
   1.1282,  0.7610,  1.1282,  0.7610
   1.1268,  0.7744,  1.1268,  0.7744
   1.1253,  0.7879,  1.1253,  0.7879
   1.1235,  0.8014,  1.1235,  0.8014
   1.1215,  0.8148,  1.1215,  0.8148
   1.1192,  0.8282,  1.1192,  0.8282
   1.1167,  0.8415,  1.1167,  0.8415
   1.1139,  0.8547,  1.1139,  0.8547
   1.1108,  0.8678,  1.1108,  0.8678
   1.1073,  0.8808,  1.1073,  0.8808
   1.1036,  0.8937,  1.1036,  0.8937
   1.0995,  0.9063,  1.0995,  0.9063
   1.0950,  0.9188,  1.0950,  0.9188
   1.0901,  0.9310,  1.0901,  0.9310
   1.0848,  0.9430,  1.0848,  0.9430
   1.0791,  0.9547,  1.0791,  0.9547
   1.0730,  0.9661,  1.0730,  0.9661
   1.0664,  0.9772,  1.0664,  0.9772
   1.0594,  0.9879,  1.0594,  0.9879
   1.0520,  0.9983,  1.0520,  0.9983
   1.0441,  1.0083,  1.0441,  1.0083
   1.0358,  1.0178,  1.0358,  1.0178
   1.0270,  1.0270,  1.0270,  1.0270
   1.0178,  1.0357,  1.0178,  1.0357
   1.0082,  1.0440,  1.0082,  1.0440
   0.9982,  1.0519,  0.9982,  1.0519
   0.9878,  1.0593,  0.9878,  1.0593
   0.9770,  1.0662,  0.9770,  1.0662
   0.9659,  1.0728,  0.9659,  1.0728
   0.9545,  1.0789,  0.9545,  1.0789
   0.9428,  1.0845,  0.9428,  1.0845
   0.9308,  1.0898,  0.9308,  1.0898
   0.9186,  1.0947,  0.9186,  1.0947
   0.9061,  1.0992,  0.9061,  1.0992
